Codigo,Nombre,Categoria,Estado,Departamento,Municipio,Ubicación,Altitud,Fecha_instalacion,Fecha_suspension,Corriente
52057100,RUMICHACA - AUT [52057100],Limnigráfica,Activa,Nariño,Ipiales,"(0.81378611, -77.66197778)",2582,2016-11-15,,Guaitara
52055170,LA JOSEFINA - AUT [52055170],Climática Principal,Activa,Nariño,Contadero,"(0.93030556, -77.49119444)",2450,2005-12-10,,Guaitara
52055220,EL PARAISO - AUT [52055220],Climática Principal,Activa,Nariño,Túquerres,"(1.07061111, -77.63688889)",3120,2004-03-01,,Guaitara
44015070,EL PEPINO - AUT [44015070],Climática Principal,Activa,Putumayo,Mocoa,"(1.08288889, -76.66711111)",760,2005-11-11,,Guaitara
48015040,PUERTO NARINO - AUT [48015040],Climática Principal,Activa,Amazonas,Puerto Nariño,"(-3.78030556, -70.36263889)",158,2005-07-19,,Amazonas
44135020,CAHUINARI - AUT [44135020],Climática Principal,Suspendida,Amazonas,Santander (Araracuara),"(-1.35166667, -70.80375)",118,2006-02-04,2011-08-04,Amazonas
44135030,CHIRIBIQUETE - AUT [44135030],Climática Principal,Suspendida,Caquetá,Solano,"(-0.07416667, -72.45138889)",256,2006-02-04,2011-07-29,Amazonas
52055150,CERRO PARAMO  - AUT [52055150],Climática Principal,Activa,Nariño,Puerres,"(0.84311111, -77.38880556)",3585,2005-12-08 19:00,,0
44037040,EL ROSARIO - AUT [44037040],Limnigráfica,Activa,Caquetá,Florencia (Caquetá),"(1.72525, -75.66638889)",600,1964-08-15,,CarañO
52077020,LOS NORTES - AUT [52077020],Limnigráfica,Activa,Nariño,Cumbitara,"(1.74111111, -77.53111111)",340,1984-09-15,,Patia
51039010,TUMACO - AUT [51039010],Mareográfica,Activa,Nariño,Tumaco,"(1.81930556, -78.73027778)",0,1951-09-15,,Pacifico
21017050,PITALITO 2 - AUT [21017050],Limnigráfica,Activa,Huila,Pitalito,"(1.84883333, -76.05244444)",1250,1972-05-15,,Guarapas
51025060,BIOTOPO - AUT [51025060],Climática Principal,Activa,Nariño,Barbacoas,"(1.40863889, -78.28161111)",512,2005-12-12,,Guarapas
51025090,GRANJA EL MIRA - - AUT [51025090],Climática Principal,Activa,Nariño,Tumaco,"(1.55019444, -78.69558333)",16,2016-08-01,,0
52077010,PUENTE PUSMEO - AUT [52077010],Limnigráfica,Activa,Nariño,Cumbitara,"(1.62405556, -77.47891667)",380,1965-09-15,,Patia
51027060,SAN JUAN MIRA - AUT [51027060],Limnigráfica,Activa,Nariño,Tumaco,"(1.42388889, -78.67027778)",2,1980-12-15,,Mira
44037060,FLORENCIA-HACHA [44037060],Limnigráfica,Activa,Caquetá,Florencia (Caquetá),"(1.62116667, -75.61922222)",270,1971-02-15,,Hacha
51020011,Piedrancha - - AUT [51020011],Pluviográfica,Activa,Nariño,Mallama (Piedrancha),"(1.14152778, -77.92897222)",1830,2016-07-01,,Hacha
44015060,ACUEDUCTO MOCOA - AUT [44015060],Climática Principal,Activa,Putumayo,Mocoa,"(1.15733333, -76.65183333)",650,2006-03-29,,Hacha
52055210,BOTANA - AUT [52055210],Climática Principal,Activa,Nariño,Pasto,"(1.16, -77.27880556)",2820,2004-03-01,,Hacha
51025070,RICAURTE - AUT [51025070],Climática Principal,Suspendida,Nariño,Ricaurte (Nariño),"(1.21533333, -77.99691667)",1210,2005-12-15,2006-08-25,Hacha
26015030,PNN PURACE - AUT [26015030],Climática Principal,Activa,Cauca,Puracé (Coconuco),"(2.35684889, -76.40354389)",368,2007-09-26,,Vaupes
52035040,VIENTO LIBRE - AUT [52035040],Climática Ordinaria,Activa,Nariño,Taminango,"(1.62, -77.34)",1400,2004-03-01,,0
26015010,EL TABLAZO - AUT [26015010],Climática Principal,Activa,Cauca,Popayán,"(2.47483306, -76.58129361)",1837,2005-06-28,,Vaupes
21017020,SAN AGUSTIN - AUT [21017020],Limnigráfica,Activa,Huila,San Agustín,"(1.87027778, -76.23161111)",1233,1971-04-15,,Sombrerillos
21015050,PURACE  - AUT [21015050],Climática Principal,Activa,Huila,San Agustín,"(1.92591667, -76.42755556)",1900,2005-07-17,,Sombrerillos
21015040,LA PRIMAVERA - AUT [21015040],Climática Principal,Activa,Huila,Saladoblanco,"(2.02158333, -76.11433333)",1919,2005-07-28,,Sombrerillos
52015050,BALBOA - AUT [52015050],Climática Principal,Activa,Cauca,Balboa (Cauca),"(2.03277778, -77.22166667)",1700,2005-09-27,,Suaza
52025090,LA SIERRA - AUT [52025090],Climática Principal,Activa,Cauca,La Sierra,"(2.19383333, -76.75033333)",1870,2005-09-23,,Suaza
21015060,MARENGO  - AUT [21015060],Agrometeorológica,Activa,Huila,Pitalito,"(2.22111111, -76.11888889)",1550,2005-07-23,,Suaza
46015030,SAN VICENTE DEL CAGUAN  - AUT [46015030],Climática Principal,Activa,Caquetá,San Vicente Del Caguán,"(2.063, -74.76269444)",300,2008-09-29 19:00,,0
21047010,PUENTE BALSEADERO [21047010],Limnigráfica,Suspendida,Huila,Agrado,"(2.23236111, -75.64855556)",688,1971-09-05,2018-06-14 14:52,Magdalena
53075020,EL DIVISO - AUT [53075020],Climática Principal,Activa,Cauca,Argelia (Cauca),"(2.31141667, -77.25877778)",1750,2005-09-29,,Magdalena
26035090,LA LAGUNA DE CAJIBIO [26035090],Climática Principal,Suspendida,Cauca,Cajibío,"(2.699175, -76.59544444)",1872,2004-10-04,2016-01-06,Magdalena
21057100,TALAGA TOEZ - AUT [21057100],Limnigráfica,Suspendida,Cauca,Páez (Belalcázar),"(2.70555556, -76.02219444)",1900,1991-09-01,2007-04-26,Paez
52045080,UNIVERSIDAD DE NARINO  - AUT [52045080],Climática Ordinaria,Activa,Nariño,Pasto,"(1.23, -77.28)",2626,2004-04-13,,0
21115170,LA PLATA - AUT [21115170],Climática Principal,Activa,Huila,Neiva,"(2.75913889, -75.07455556)",2101,2005-07-20,,Paez
21097070,PUENTE SANTANDER [21097070],Limnigráfica,Activa,Huila,Neiva,"(2.94261111, -75.30852778)",431,1960-09-15,,Magdalena
57025020,GORGONA GUAPI [57025020],Climática Principal,Activa,Cauca,Guapi,"(2.96294444, -78.17436111)",10,2005-09-18,,Magdalena
22025040,EL DIABLO - AUT [22025040],Climática Principal,Activa,Cauca,Páez (Belalcázar),"(2.97772222, -76.06383333)",495,2005-05-31,,Quebrada Don Abad
53077010,ANGOSTURA RIO MICAY [53077010],Limnigráfica,Activa,Cauca,López,"(2.80122222, -77.24102778)",120,1960-03-15,,Micay
