OBJECTID,Categoria,Codigo Tramo,Poste de Referencia Inicial,Distancia Inicial,Poste de Referencia Final,Distancia Final,Nombre Ruta,Sector,Administrador,Grupo Administrador Vial,Superficie,Calzada,Ruta,Fuente,GlobalID,nombretramo,created_user,created_date,last_edited_user,last_edited_date,Territorial,revisionestado,Shape__Length
1,4,7006,2,750,11,450,Acceso Troncal del  Magdalena,Aguachica – Gamarra,3,2,3,3,70,Por Defnir,7792dd5f-4f89-4e56-9196-0203604ad2ce,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,26,2,13015.7858990791
2,4,70CS03,1,620,5,0,Acceso Troncal del  Magdalena, Gamarra – Puerto Capulco,1,2,3,3,70,Por Defnir,dd5329f1-500e-43eb-b9ab-7ff2aaf25033,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,26,1,3326.30945547151
3,1,45CS04,0,920,3,310,Acceso Troncal del  Magdalena,Aguaclara – Circunvalar de Aguachica,3,,3,3,45,Por Defnir,a36e17c4-b12e-4adf-a272-fa785dd17356,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,26,No Revisado,1397.58546529234
4,4,45CS04,0,0,1,920,Acceso Troncal del  Magdalena,Aguaclara – Circunvalar de Aguachica,3,2,3,3,45,Por Defnir,9aeb18d8-7be5-498c-b10e-c132e0553e16,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,26,No Revisado,1904.66680324578
5,4,45CSE,0,0,1,812,Troncal del Magdalena,Variante al Poblado de Minas,2,2,1,2,45,Por Defnir,12071435-e270-4cc1-8490-dacde56e5020,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,26,No Revisado,3437.77719623734
6,4,45CSG,0,0,1,138,Troncal del Magdalena,Variante al poblado de Morrison,2,2,1,2,45,Por Defnir,0d9c1d0b-d581-40e4-b375-cb52509d96cf,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,26,No Revisado,2254.19769830811
7,1,4508,0,0,87,306,Troncal del Magdalena,Girardot - Cambao,2,,1,2,45,Archivos SHP suministrados por la ANI,6bf03843-eedf-471e-8704-22f8d8c41164,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,28,No Revisado,88713.9427237937
8,4,4510,34,0,134,470,Troncal del Magdalena,Puerto Salgar - Río Ermitaño,2,,3,1,45,IGAC (Contrato 2130/2014),b3958062-d43b-4c93-8f7c-5e241454853d,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,28,No Revisado,187543.56321619
9,1,45A04,25,200,28,200,Troncal Central,Paso Nacional por Zipaquirá,1,1,1,2,45,Google Maps,d6ac467b-ded7-4c80-b643-44793af4e7c3,Paso Nacional Por Zipaquira,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,12,1,3914.88599529968
10,1,50CN03,0,0,10,505,Conexión Transversal Buenaventura - Puerto Carreño y Troncal Central del Norte,El Salitre - Sopó,2,,3,1,50,IGAC (Contrato 2130/2014),4e161bc6-91e7-4d2d-a731-aec989713d79,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,28,No Revisado,10623.3022557411
