CodigoEstacion,NombreEstacion,Variable,Parametro,Fecha,Unidad,Valor,NivelAprobacion
35075070,CHINAVITA - AUT [35075070],PRECIPITACION,Precipitación total diaria (automática),2020-01-01 00:00,mm,0.4,Preliminar
35075070,CHINAVITA - AUT [35075070],PRECIPITACION,Precipitación total diaria (automática),2020-01-02 00:00,mm,0,Preliminar
35075070,CHINAVITA - AUT [35075070],PRECIPITACION,Precipitación total diaria (automática),2020-01-03 00:00,mm,0,Preliminar
35075070,CHINAVITA - AUT [35075070],PRECIPITACION,Precipitación total diaria (automática),2020-01-04 00:00,mm,0,Preliminar
35075070,CHINAVITA - AUT [35075070],PRECIPITACION,Precipitación total diaria (automática),2020-01-05 00:00,mm,0,Preliminar
35075070,CHINAVITA - AUT [35075070],PRECIPITACION,Precipitación total diaria (automática),2020-01-06 00:00,mm,0,Preliminar
35075070,CHINAVITA - AUT [35075070],PRECIPITACION,Precipitación total diaria (automática),2020-01-07 00:00,mm,0,Preliminar
35075070,CHINAVITA - AUT [35075070],PRECIPITACION,Precipitación total diaria (automática),2020-01-08 00:00,mm,0,Preliminar
35075070,CHINAVITA - AUT [35075070],PRECIPITACION,Precipitación total diaria (automática),2020-01-09 00:00,mm,0,Preliminar
35075070,CHINAVITA - AUT [35075070],PRECIPITACION,Precipitación total diaria (automática),2020-01-10 00:00,mm,0,Preliminar
35075070,CHINAVITA - AUT [35075070],PRECIPITACION,Precipitación total diaria (automática),2020-01-11 00:00,mm,0,Preliminar
35075070,CHINAVITA - AUT [35075070],PRECIPITACION,Precipitación total diaria (automática),2020-01-12 00:00,mm,0,Preliminar
35075070,CHINAVITA - AUT [35075070],PRECIPITACION,Precipitación total diaria (automática),2020-01-13 00:00,mm,0,Preliminar
35075070,CHINAVITA - AUT [35075070],PRECIPITACION,Precipitación total diaria (automática),2020-01-14 00:00,mm,0,Preliminar
35075070,CHINAVITA - AUT [35075070],PRECIPITACION,Precipitación total diaria (automática),2020-01-15 00:00,mm,0,Preliminar
35075070,CHINAVITA - AUT [35075070],PRECIPITACION,Precipitación total diaria (automática),2020-01-16 00:00,mm,0,Preliminar
35075070,CHINAVITA - AUT [35075070],PRECIPITACION,Precipitación total diaria (automática),2020-01-17 00:00,mm,2.7,Preliminar
35075070,CHINAVITA - AUT [35075070],PRECIPITACION,Precipitación total diaria (automática),2020-01-18 00:00,mm,2.5,Preliminar
35075070,CHINAVITA - AUT [35075070],PRECIPITACION,Precipitación total diaria (automática),2020-01-19 00:00,mm,0.3,Preliminar
35075070,CHINAVITA - AUT [35075070],PRECIPITACION,Precipitación total diaria (automática),2020-01-20 00:00,mm,0.5,Preliminar
35075070,CHINAVITA - AUT [35075070],PRECIPITACION,Precipitación total diaria (automática),2020-01-21 00:00,mm,0,Preliminar
35075070,CHINAVITA - AUT [35075070],PRECIPITACION,Precipitación total diaria (automática),2020-01-22 00:00,mm,0,Preliminar
35075070,CHINAVITA - AUT [35075070],PRECIPITACION,Precipitación total diaria (automática),2020-01-23 00:00,mm,0,Preliminar
35075070,CHINAVITA - AUT [35075070],PRECIPITACION,Precipitación total diaria (automática),2020-01-24 00:00,mm,1.2,Preliminar
35075070,CHINAVITA - AUT [35075070],PRECIPITACION,Precipitación total diaria (automática),2020-01-25 00:00,mm,5.6,Preliminar
35075070,CHINAVITA - AUT [35075070],PRECIPITACION,Precipitación total diaria (automática),2020-01-26 00:00,mm,0.9,Preliminar
35075070,CHINAVITA - AUT [35075070],PRECIPITACION,Precipitación total diaria (automática),2020-01-27 00:00,mm,0.1,Preliminar
35075070,CHINAVITA - AUT [35075070],PRECIPITACION,Precipitación total diaria (automática),2020-01-28 00:00,mm,0,Preliminar
35075070,CHINAVITA - AUT [35075070],PRECIPITACION,Precipitación total diaria (automática),2020-01-29 00:00,mm,0,Preliminar
35075070,CHINAVITA - AUT [35075070],PRECIPITACION,Precipitación total diaria (automática),2020-01-30 00:00,mm,0,Preliminar
35075070,CHINAVITA - AUT [35075070],PRECIPITACION,Precipitación total diaria (automática),2020-01-31 00:00,mm,0,Preliminar
35075070,CHINAVITA - AUT [35075070],PRECIPITACION,Precipitación total diaria (automática),2020-02-01 00:00,mm,0,Preliminar
35075070,CHINAVITA - AUT [35075070],PRECIPITACION,Precipitación total diaria (automática),2020-02-02 00:00,mm,0,Preliminar
35075070,CHINAVITA - AUT [35075070],PRECIPITACION,Precipitación total diaria (automática),2020-02-03 00:00,mm,0,Preliminar
35075070,CHINAVITA - AUT [35075070],PRECIPITACION,Precipitación total diaria (automática),2020-02-04 00:00,mm,0,Preliminar
35075070,CHINAVITA - AUT [35075070],PRECIPITACION,Precipitación total diaria (automática),2020-02-05 00:00,mm,0,Preliminar
35075070,CHINAVITA - AUT [35075070],PRECIPITACION,Precipitación total diaria (automática),2020-02-06 00:00,mm,0,Preliminar
35075070,CHINAVITA - AUT [35075070],PRECIPITACION,Precipitación total diaria (automática),2020-02-07 00:00,mm,0,Preliminar
35075070,CHINAVITA - AUT [35075070],PRECIPITACION,Precipitación total diaria (automática),2020-02-08 00:00,mm,0,Preliminar
35075070,CHINAVITA - AUT [35075070],PRECIPITACION,Precipitación total diaria (automática),2020-02-09 00:00,mm,0,Preliminar
35075070,CHINAVITA - AUT [35075070],PRECIPITACION,Precipitación total diaria (automática),2020-02-10 00:00,mm,0,Preliminar
35075070,CHINAVITA - AUT [35075070],PRECIPITACION,Precipitación total diaria (automática),2020-02-11 00:00,mm,0,Preliminar
35075070,CHINAVITA - AUT [35075070],PRECIPITACION,Precipitación total diaria (automática),2020-02-12 00:00,mm,0,Preliminar
35075070,CHINAVITA - AUT [35075070],PRECIPITACION,Precipitación total diaria (automática),2020-02-13 00:00,mm,0,Preliminar
35075070,CHINAVITA - AUT [35075070],PRECIPITACION,Precipitación total diaria (automática),2020-02-14 00:00,mm,0,Preliminar
35075070,CHINAVITA - AUT [35075070],PRECIPITACION,Precipitación total diaria (automática),2020-02-15 00:00,mm,0.6,Preliminar
35075070,CHINAVITA - AUT [35075070],PRECIPITACION,Precipitación total diaria (automática),2020-02-16 00:00,mm,0.3,Preliminar
35075070,CHINAVITA - AUT [35075070],PRECIPITACION,Precipitación total diaria (automática),2020-02-17 00:00,mm,0,Preliminar
35075070,CHINAVITA - AUT [35075070],PRECIPITACION,Precipitación total diaria (automática),2020-02-18 00:00,mm,0,Preliminar
35075070,CHINAVITA - AUT [35075070],PRECIPITACION,Precipitación total diaria (automática),2020-02-19 00:00,mm,0,Preliminar
35075070,CHINAVITA - AUT [35075070],PRECIPITACION,Precipitación total diaria (automática),2020-02-20 00:00,mm,0,Preliminar
35075070,CHINAVITA - AUT [35075070],PRECIPITACION,Precipitación total diaria (automática),2020-02-21 00:00,mm,0,Preliminar
35075070,CHINAVITA - AUT [35075070],PRECIPITACION,Precipitación total diaria (automática),2020-02-22 00:00,mm,0.3,Preliminar
35075070,CHINAVITA - AUT [35075070],PRECIPITACION,Precipitación total diaria (automática),2020-02-23 00:00,mm,9.8,Preliminar
35075070,CHINAVITA - AUT [35075070],PRECIPITACION,Precipitación total diaria (automática),2020-02-24 00:00,mm,7.9,Preliminar
35075070,CHINAVITA - AUT [35075070],PRECIPITACION,Precipitación total diaria (automática),2020-02-25 00:00,mm,5.4,Preliminar
35075070,CHINAVITA - AUT [35075070],PRECIPITACION,Precipitación total diaria (automática),2020-02-26 00:00,mm,21.6,Preliminar
35075070,CHINAVITA - AUT [35075070],PRECIPITACION,Precipitación total diaria (automática),2020-02-27 00:00,mm,0,Preliminar
35075070,CHINAVITA - AUT [35075070],PRECIPITACION,Precipitación total diaria (automática),2020-02-28 00:00,mm,0.1,Preliminar
35075070,CHINAVITA - AUT [35075070],PRECIPITACION,Precipitación total diaria (automática),2020-02-29 00:00,mm,0,Preliminar
35075070,CHINAVITA - AUT [35075070],PRECIPITACION,Precipitación total diaria (automática),2020-03-01 00:00,mm,0,Preliminar
35075070,CHINAVITA - AUT [35075070],PRECIPITACION,Precipitación total diaria (automática),2020-03-02 00:00,mm,0,Preliminar
35075070,CHINAVITA - AUT [35075070],PRECIPITACION,Precipitación total diaria (automática),2020-03-03 00:00,mm,0,Preliminar
35075070,CHINAVITA - AUT [35075070],PRECIPITACION,Precipitación total diaria (automática),2020-03-04 00:00,mm,0,Preliminar
35075070,CHINAVITA - AUT [35075070],PRECIPITACION,Precipitación total diaria (automática),2020-03-05 00:00,mm,0,Preliminar
